location,wifi,mobiledata,batterysaver,camera,magneticfield,orientation,,,
wifi,bluetooth,autorotate,batterysaver,camera,accelerometer,gyroscope,magneticfield,orientation,proximity
location,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,gyroscope,orientation,proximity
wifi,camera,magneticfield,orientation,,,,,,
location,wifi,mobiledata,bluetooth,batterysaver,camera,gyroscope,orientation,,
wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,light,magneticfield,orientation,proximity
wifi,mobiledata,bluetooth,batterysaver,accelerometer,orientation,proximity,,,
location,mobiledata,accelerometer,gyroscope,,,,,,
autorotate,donotdisturb,accelerometer,light,orientation,,,,,
wifi,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,orientation,
wifi,bluetooth,accelerometer,gyroscope,magneticfield,proximity,,,,
location,wifi,bluetooth,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation
location,wifi,autorotate,camera,accelerometer,gyroscope,magneticfield,orientation,proximity,
bluetooth,autorotate,camera,gyroscope,magneticfield,proximity,,,,
autorotate,magneticfield,proximity,,,,,,,
wifi,mobiledata,autorotate,camera,accelerometer,magneticfield,,,,
wifi,mobiledata,bluetooth,autorotate,batterysaver,accelerometer,gyroscope,magneticfield,proximity,
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,gyroscope,magneticfield,proximity
location,mobiledata,bluetooth,donotdisturb,camera,gyroscope,magneticfield,orientation,,
location,mobiledata,bluetooth,donotdisturb,light,orientation,proximity,,,
wifi,mobiledata,bluetooth,camera,light,magneticfield,orientation,proximity,,
location,batterysaver,light,orientation,proximity,,,,,
location,donotdisturb,camera,accelerometer,magneticfield,orientation,,,,
location,camera,accelerometer,gyroscope,light,magneticfield,orientation,,,
mobiledata,bluetooth,donotdisturb,light,magneticfield,proximity,,,,
wifi,mobiledata,donotdisturb,accelerometer,light,magneticfield,,,,
wifi,mobiledata,bluetooth,autorotate,donotdisturb,gyroscope,orientation,,,
location,mobiledata,autorotate,donotdisturb,camera,gyroscope,light,orientation,,
location,mobiledata,bluetooth,autorotate,camera,accelerometer,proximity,,,
wifi,autorotate,batterysaver,camera,accelerometer,gyroscope,proximity,,,
