c6,304.3741082740016
c1,288.84203505399637
c5,274.71656949887984
c7,249.56321219587699
c3,302.8514446958434
c4,283.89672959805466
c2,327.08142662607133
c0,304.42980423313566
c2,322.88527430198155
c1,332.5325096209999
c4,256.9428896380123
c7,300.58003989816643
c0,335.6439190090168
c3,337.23940713796765
c6,309.07365031307563
c5,298.09510177886114
c4,292.015811575111
c0,283.17554956302047
c6,301.41794493887573
c7,205.7970744110644
c5,300.9178443069104
c3,322.88104615802877
c2,303.6741575000342
c1,322.4978445689194
