wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,camera,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,accelerometer,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,gyroscope,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,light,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,magneticfield,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,orientation,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,proximity
location,wifi,mobiledata,bluetooth,autorotate,batterysaver,donotdisturb,camera,accelerometer,gyroscope,light,magneticfield,orientation
